Legume;Agriculture;Transformation;Transport;Supermarché et distribution;Consommation;Total
Tomate;222 g CO₂e;;298 g CO₂e;25 g CO₂e;80,6 g CO₂e;626 g CO₂e
Carotte;82,8 g CO₂e;0,07 g CO₂e;262 g CO₂e;18,9 g CO₂e;32,3 g CO₂e;396 g CO₂e
Courgette;181 g CO₂e;0,11 g CO₂e;262 g CO₂e;23,1 g CO₂e;32,3 g CO₂e;499 g CO₂e
Concombre;196 g CO₂e;0,09 g CO₂e;262 g CO₂e;21,9 g CO₂e;32,3 g CO₂e;512 g CO₂e
Poireau;211 g CO₂e;0,08 g CO₂e;298 g CO₂e;21,7 g CO₂e;80,6 g CO₂e;611 g CO₂e
Pomme-de-terre;102 g CO₂e;0,06 g CO₂e;175 g CO₂e;17,2 g CO₂e;;706 g CO₂e
Laitue;181 g CO₂e;0,55 g CO₂e;397 g CO₂e;74,6 g CO₂e;215 g CO₂e;868 g CO₂e
Potiron;205 g CO₂e;0,13 g CO₂e;325 g CO₂e;27,5 g CO₂e;80,6 g CO₂e;638 g CO₂e
Courge;205 g CO₂e;;325 g CO₂e;27,6 g CO₂e;80,6 g CO₂e;638 g CO₂e
